公表年月日,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,不明,-,合計
2020-01-24,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2020-01-25,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2020-02-14,0,0,0,0,0,1,0,1,0,0,0,0,0,2
2020-02-15,0,0,0,0,2,2,1,2,1,0,0,0,0,8
2020-02-16,0,0,0,2,0,0,3,0,0,0,0,0,0,5
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,1,0,0,1,0,0,1,0,0,0,0,3
2020-02-19,0,0,0,0,0,0,0,3,0,0,0,0,0,3
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,2,0,1,0,0,0,0,0,3
2020-02-22,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,1,1,1,0,0,0,0,0,0,0,3
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,2,1,0,0,0,0,3
2020-02-27,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-03-01,0,0,0,0,0,1,0,1,0,0,0,0,0,2
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-03-04,0,0,0,1,1,1,0,0,1,0,0,0,0,4
2020-03-05,2,0,1,1,0,0,0,2,1,1,0,0,0,8
2020-03-06,0,0,0,2,1,1,0,1,0,1,0,0,0,6
2020-03-07,0,0,0,0,1,3,0,2,0,0,0,0,0,6
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,1,1,0,1,0,0,0,0,0,3
2020-03-11,0,0,0,1,1,2,1,0,1,0,0,0,0,6
2020-03-12,0,0,0,0,0,0,1,1,0,0,0,0,0,2
2020-03-13,0,0,0,0,0,1,0,1,0,0,0,0,0,2
2020-03-14,0,0,0,2,3,1,3,1,0,0,0,0,0,10
2020-03-15,0,0,1,1,0,0,1,0,0,0,0,0,0,3
2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,4,5,3,0,0,0,0,0,0,12
2020-03-18,0,0,3,1,3,0,0,2,0,0,0,0,0,9
2020-03-19,0,0,1,0,3,1,1,0,1,0,0,0,0,7
2020-03-20,0,0,2,0,2,3,3,1,0,0,0,0,0,11
2020-03-21,0,0,1,1,3,2,0,0,0,0,0,0,0,7
2020-03-22,0,0,0,1,1,0,1,0,0,0,0,0,0,3
2020-03-23,0,0,0,2,6,3,1,4,0,0,0,0,0,16
2020-03-24,0,1,3,6,2,2,3,1,0,0,0,0,0,18
2020-03-25,0,2,4,4,9,7,8,3,1,3,0,0,0,41
2020-03-26,1,0,5,6,9,6,5,11,2,1,0,0,0,46
2020-03-27,0,0,3,9,11,1,4,7,2,3,0,0,0,40
2020-03-28,1,1,7,8,8,6,10,17,6,0,0,0,0,64
2020-03-29,0,1,19,24,9,9,5,4,1,0,0,0,0,72
2020-03-30,0,1,0,2,6,0,1,1,1,0,0,0,0,12
2020-03-31,2,2,14,20,14,11,6,5,3,1,0,0,0,78
2020-04-01,0,1,10,16,19,11,8,2,0,0,0,0,0,67
2020-04-02,2,4,20,16,19,14,9,10,3,1,0,0,0,98
2020-04-03,0,1,11,23,18,14,11,10,4,0,0,0,0,92
2020-04-04,0,2,19,21,18,17,15,16,7,3,0,0,0,118
2020-04-05,0,1,38,34,20,17,13,4,11,3,0,0,0,141
2020-04-06,0,0,18,21,16,11,12,7,0,0,0,0,0,85
2020-04-07,2,1,14,22,18,14,8,5,3,0,0,0,0,87
2020-04-08,0,1,32,36,20,24,18,14,10,1,0,0,0,156
2020-04-09,5,2,20,43,36,31,19,17,10,0,0,0,0,183
2020-04-10,0,2,54,43,30,36,19,10,4,1,0,0,0,199
2020-04-11,1,5,34,37,48,46,18,9,0,0,0,0,0,198
2020-04-12,2,0,24,23,19,20,12,24,26,23,1,0,0,174
2020-04-13,1,1,21,19,17,27,8,4,2,0,0,0,0,100
